CountryWorldscopeList,CompanyNameOfficial,CompanyNameOfficialSource,CompanyNameOfficialNotes,ISIN,ISINSource,ISINNotes,WorldscopePermanentID,AccountingPeriodEndDate,CountryOfIncorporation,CountryOfIncorporationSource,CountryOfIncorporationNotes,Consolidation,ConsolidationSource,ConsolidationNotes,AccountingStandards,AccountingStandardsSource,AccountingStandardsNotes,ListingStatus,ListingStatusSource,ListingStatusNotes,ListingPrimary,ListingPrimarySource,ListingPrimaryNotes,SampleNoIFRSGermany2012,SampleNoIFRSGermany2020,SampleGermany2020,SampleNoIFRSUK2007,SampleNoIFRSUK2012,SampleNoIFRSUK2020
Germany,Plan Optik AG,1,,DE000A0HGQS8,1,,C280TOA00,31/12/2020,Germany,1,,c,1,"CS: voluntary consolidated FS published on company website but not on registry; total assets in WS is from consolidated FS (less ""Aktive latente Steuern"")",Local,1,,2,3,"CS: Open Market Berlin, Düsseldorf, Frankfurt (Basic Board), München, Stuttgart, Tradegate (source: DGAP)",FRA Basic Board,4,,,1,1,,,
Germany,LEHNER INVESTMENTS AG,2,"CS: 2020 AR not in registry; formerly PCP PublicCapitalPartners AG, formerly Adinotec AG",DE000A2DA406,1,,C280AQA00,31/12/2020,Germany,1,,u,1,,Local,1,,2,3,CS: source: DGAP,FRA Basic Board,3,CS: source: DGAP,,1,1,,,
Germany,,,CS: conVisual AG,,,,C280BQA00,31/12/2012,Germany,1,,u,,,Local,,,2,2,"CS: ""Entry Standard""",,,,1,,,,,
Germany,mVISE AG,1,,DE0006204589,1,,C280BQA00,31/12/2020,Germany,1,,c,1,,Local,1,,2,2,,FRA Scale,2,,,1,1,,,
Germany,,,,,,,C280W3B00,31/12/2012,Germany,1,,c,,,Local,,,2,2,"CS: ""Entry Standard""",,,,1,,,,,
Germany,BAVARIA Industries Group AG,1,,DE0002605557,1,,C280W3B00,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Berlin, Düsseldorf, Frankfurt (Basic Board), München, Stuttgart, Tradegate (source: DGAP)",FRA Basic Board,4,"CS: see ""Half year Report as of 30 June 2020""",,1,1,,,
Germany,,,"CS: nordaktienbank AG; registry shows two entries labelled ""Jahresabschluss zum Geschäftsjahr vom 01.01.2012 bis zum 31.12.2012"" but one of them actually contains consolidated FS",,,,C280SIG00,31/12/2012,Germany,1,,u + c,,"CS: WS's total assets are from the unconsolidated FS, but there are consolidated FS on the registry",Local + Local,,,2,3,"CS: source: DGAP 14/10/2016: ""Die HÖVELRAT Holding AG, vormals nordaktienbank AG, ist seit Dezember 2005 in den Freiverkehr der Börsen Hamburg und Berlin einbezogen.""",,,,1,,,,,
Germany,HÖVELRAT Holding AG,1,,DE0005430300,1,,C280SIG00,31/12/2020,Germany,1,,u,1,,Local,1,,2,1,,HAM Open Market,4,"CS: ""Die HÖVELRAT Holding AG ist seit Dezember 2005 in den Freiverkehr der Börse Hamburg einbezogen.""",,1,1,,,
Germany,,,,,,,C280BH6E0,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,wallstreet:online AG,1,,DE000A2GS609,1,,C280BH6E0,31/12/2020,Germany,1,,u,1,,Local,1,,2,3,"CS: Open Market Berlin, Düsseldorf, Frankfurt (Basic Board), Hamburg, München, Stuttgart, Tradegate (source: DGAP)",FRA Basic Board,4,,,1,1,,,
